ORIGIN_AIRPORT_NAME,FLIGHT_NUMBER
Meridian Regional Airport,0.3
Miami International Airport,22.2
Midland International Airport,0.5
Minneapolis-Saint Paul International Airport,22.3
Minot International Airport,0.6
Missoula International Airport,0.5
Mobile Regional Airport,1.1
Monroe Regional Airport,0.6
Monterey Regional Airport (Monterey Peninsula Airport),1.0
Montgomery Regional Airport,0.5
Montrose Regional Airport,0.5
Muskegon County Airport,0.2
Myrtle Beach International Airport,0.7
Nashville International Airport,10.9
Natrona County International Airport,0.4
Newark Liberty International Airport,25.9
Newport News/Williamsburg International Airport,0.3
Niagara Falls International Airport,0.1
Nome Airport,0.1
Norfolk International Airport,2.1
Norman Y. Mineta San José International Airport,8.3
Northwest Arkansas Regional Airport,1.5
Oakland International Airport,9.3
Ontario International Airport,4.3
Orlando International Airport,32.2
Palm Beach International Airport,8.2
Palm Springs International Airport,3.9
Pellston Regional Airport of Emmet County,0.2
Pensacola International Airport (Pensacola Gulf Coast Regional Airport),2.0
Petersburg James A. Johnson Airport,0.2
Philadelphia International Airport,14.9
Phoenix Sky Harbor International Airport,42.0
Piedmont Triad International Airport,1.6
Pittsburgh International Airport,5.6
Pocatello Regional Airport,0.2
Port Columbus International Airport,5.8
Portland International Airport,11.7
Portland International Jetport,0.5
Pueblo Memorial Airport,0.1
Quad City International Airport,0.9
Rafael Hernández Airport,0.5
Raleigh-Durham International Airport,8.3
Ralph Wien Memorial Airport,0.1
Range Regional Airport (Chisholm-Hibbing Airport),0.2
Rapid City Regional Airport,0.7
Redding Municipal Airport,0.2
Redmond Municipal Airport (Roberts Field),0.5
Reno/Tahoe International Airport,3.4
Rhinelander-Oneida County Airport,0.3
Richmond International Airport,3.6
Rick Husband Amarillo International Airport,1.0
Roanoke Regional Airport (Woodrum Field),0.3
Rochester International Airport,0.2
Rock Springs-Sweetwater County Airport,0.3
Rogue Valley International Airport,0.9
Ronald Reagan Washington National Airport,16.6
Sacramento International Airport,8.4
Salt Lake City International Airport,22.4
San Antonio International Airport,7.8
San Diego International Airport (Lindbergh Field),19.0
San Francisco International Airport,42.5
San Luis Obispo County Regional Airport (McChesney Field),1.3
Santa Barbara Municipal Airport (Santa Barbara Airport),2.1
Santa Fe Municipal Airport,0.3
Santa Maria Public Airport (Capt G. Allan Hancock Field),0.1
Sarasota-Bradenton International Airport,0.9
Savannah/Hilton Head International Airport,2.0
Sawyer International Airport,0.1
Seattle-Tacoma International Airport,28.2
Shreveport Regional Airport,1.4
Sioux Falls Regional Airport,1.5
Sioux Gateway Airport,0.2
Sitka Rocky Gutierrez Airport,0.2
Sloulin Field International Airport,0.6
South Bend International Airport (South Bend Regional),0.8
Southwest Florida International Airport,9.8
Southwest Georgia Regional Airport,0.1
Spokane International Airport,2.0
Springfield-Branson National Airport,1.1
St. Cloud Regional Airport,0.2
St. George Regional Airport,0.2
St. Louis International Airport at Lambert Field,10.2
Stewart International Airport,0.2
Syracuse Hancock International Airport,1.6
Tallahassee International Airport,0.8
Tampa International Airport,18.3
Ted Stevens Anchorage International Airport,3.8
Texarkana Regional Airport (Webb Field),0.1
The Eastern Iowa Airport,1.5
Theodore Francis Green State Airport,2.9
Toledo Express Airport,0.2
Trenton Mercer Airport,1.0
Tri-Cities Airport,0.4
Tri-Cities Regional Airport,0.4
Tucson International Airport,4.4
Tulsa International Airport,3.1
Tyler Pounds Regional Airport,0.4
University Park Airport,0.3
University of Illinois - Willard Airport,0.7
Valdez Airport,0.2
Valdosta Regional Airport,0.1
Valley International Airport,0.5
Waco Regional Airport,0.3
Washington Dulles International Airport,13.7
Waterloo Regional Airport,0.2
Westchester County Airport,1.7
Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),1.5
Wichita Falls Municipal Airport/Sheppard AFB,0.1
Wiley Post-Will Rogers Memorial Airport,0.2
Wilkes-Barre/Scranton International Airport,0.3
Will Rogers World Airport,3.7
William P. Hobby Airport,12.3
Wilmington Airport,0.1
Wilmington International Airport,0.5
Worcester Regional Airport,0.2
Wrangell Airport,0.2
Yampa Valley Airport (Yampa Valley Regional),0.6
Yeager Airport,0.5
Yellowstone Regional Airport,0.2
Yuma International Airport,0.6
